,player_id,catches_taken_ema,run_out_direct_ema,run_out_throw_ema,stumpings_done_ema,balls_bowled_ema,runs_conceded_ema,wickets_taken_ema,maidens_ema,runs_scored_ema,balls_faced_ema,fours_scored_ema,sixes_scored_ema,fantasy_score_total_ema
144739,5cd9b2db,0.0,0.0,0.0,0.0,48.2,30.6,1.0,0.0,0.13333333333333333,2.8,0.0,0.0,34.86666666666667
144749,5cdf8304,0.8005836182468121,0.0,0.5516947293579233,0.0,11.831704561068944,16.17100299900625,0.10014814814814815,0.0,3.612960440453184,2.6646208491502317,0.4274633897548139,0.14329543228166441,20.613055443779103
144750,5ce3fe3f,0.0,0.0,0.0,0.0,13.0,14.0,1.0,0.0,1.0,6.0,0.0,0.0,40.0
144755,5ce5204c,0.0,0.0,0.0,0.0,4.218192592592592,7.08005925925926,0.2201283950617284,0.0,2.875279012345679,3.3102814814814816,0.23111111111111113,0.11555555555555556,14.111782716049383
144759,5ce56983,0.7842962962962964,0.0,0.0,0.0,1.3866666666666667,0.0,0.0,0.23111111111111113,35.20088888888889,59.34696296296296,4.339555555555557,0.0,50.3925925925926
144771,5d006a1a,0.13333333333333333,0.0,0.0,0.0,18.66117036825514,18.199496468368267,0.6737103513006054,0.03677964862386155,5.335102774132569,12.723157265930512,0.20719202058108677,0.0,29.45278007868514
144776,5d00cd6f,0.0,0.0,0.0,0.0,1.9022222222222225,2.16,0.23111111111111113,0.0,2.8167308641975306,5.755298765432099,0.3179061728395062,0.0,12.991901234567901
144777,5d02a793,0.0,0.0,0.0,0.0,92.0,102.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0
144783,5d08f132,0.20855572016460905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.868212674897121,16.099438353909466,0.28709135802469143,0.5890936625514405,13.976566255144036
144787,5d095ee8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21710485596708,13.962200493827162,1.1614274897119343,0.0,11.98249349794239
144845,5d096f3d,0.03561297077429801,0.0002835167660351861,0.0,0.0,17.754716243509804,24.003997315260097,0.35508317512646226,0.0055347598887580726,1.87345104785248,2.0549829193141775,0.05864088632352239,0.008612672217794702,15.184186370872588
144853,5d17f075,0.13333333333333333,0.0,0.08679506172839507,0.0,17.171281646090538,24.43387786008231,1.0044246913580248,0.0,10.497237860082306,11.128863868312758,0.7200566255144035,0.0,43.15545283950617
144858,5d1c2102,0.08679506172839507,0.11555555555555556,0.18694320987654323,0.2157037037037037,0.0,0.0,0.0,0.0,3.0265679012345674,3.084325925925926,0.2002962962962963,0.11555555555555556,13.249106172839507
144861,5d1c84b8,0.0,0.0,0.0,0.0,26.462222222222223,22.311111111111114,0.8844444444444445,0.0,2.1333333333333333,2.1333333333333333,0.0,0.0,35.56
145160,5d1e7582,0.9656414893870319,0.0007716442883633533,0.2354684930526145,0.1291834044813973,2.1999914167755864e-10,2.801254414653511e-10,8.341334765288943e-21,8.341334765288943e-21,26.61161996667067,27.304627318863574,3.162238713705127,0.43820324011715267,48.62576550183701
145212,5d2031f0,0.06865534409787488,0.0,0.10014814814814815,0.0,1.4853319636559474,1.9945886369094152,0.0,0.0,3.086232938492725,6.569877201094542,0.09893842665772497,0.0,7.073989678740027
145218,5d291b8e,1.2438913580246915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8344493827160497,5.228740740740741,0.20235061728395062,0.0,12.287486419753089
145232,5d297269,0.20624251019109233,0.08679506172839507,0.0,0.0,0.0,0.0,0.0,0.0,2.6721469578927675,12.60170393095111,0.07431375157846898,0.0,6.292791934496691
145557,5d2eda89,0.5316859864918706,0.0019482306194836155,0.18990084630465762,0.0,1.5347158953426376,1.4490376622392147,7.820735275310783e-05,0.0,46.96596693766898,46.058234703946034,6.088148239193906,0.8445526738708626,67.81419589638625
145600,5d2eea49,0.025506739371209126,0.0,0.0,0.0,19.27394904068892,30.092147460770917,0.4217101063194507,0.07522238683127573,0.23479552009569454,0.26114011203521775,0.023942189044925583,0.0,16.75249405169464
145602,5d36377e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.6666666666666666,0.0,0.0,4.533333333333333
145619,5d38476c,0.5554154350847067,0.0,0.07522238683127573,0.0,23.32901426393722,24.87221482668217,0.4920580078267933,0.10014814814814815,11.72093215592674,16.31726343222878,0.9984971203843086,0.28620682320378,36.52738945512407
145621,5d3b0def,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8666666666666667,12.266666666666666,0.0,0.0,4.0
145638,5d3d423a,0.2863095969437997,0.05594547064889257,0.13333333333333333,0.0,14.302819390958621,17.075059616514064,0.4987426071078386,0.0,10.122924947281305,9.012765634120088,0.5717914308202265,0.4639780494713597,34.18307379787341
145646,5d428b3d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.636407220850479,11.409300982167352,0.6737382716049383,0.0,8.195973267489713
145680,5d4338a2,0.3292336737187448,0.08018301735662822,0.21927596575937447,0.0,25.351127387214603,23.082080692968113,1.4885786733281734,0.11599956084665285,17.202982605028826,20.914494728286414,1.4939453891920156,0.46069381311311947,68.84611880189428
145682,5d499f67,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.066666666666666,7.666666666666666,0.5333333333333333,0.26666666666666666,19.6
145683,5d534cff,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
145685,5d5b475e,0.0,0.0,0.0,0.0,12.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0
145714,5d60560f,0.2761082020313733,0.0,0.12083123379138697,0.23269695767515977,0.0,0.0,0.0,0.0,18.40876055948428,19.098014825207937,1.8672077339368676,0.4441042937696621,31.7140317406953
